"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene88",10.8538436749032,5.8138714316627,171.648650268709,3.22919850825097e-39,7.89183276109672e-37
"dp_gene9419",7.9416881327748,5.49792395839226,169.071830513162,1.18002480354429e-38,2.83579627371753e-36
"dp_gene3262",9.35697829092755,4.97226349349273,167.379470443133,2.76402366131545e-38,6.53351756926352e-36
"dp_gene13469",7.85309882841519,7.45314844827202,164.8342783745,9.94286658840042e-38,2.31235795706687e-35
"dp_gene2113",6.97071192225304,7.19870313270774,164.285807159491,1.31016449396956e-37,2.99861299024557e-35
"dp_gene6638",8.03175691904203,5.57861554983696,163.762435685525,1.70474401215035e-37,3.84073498612435e-35
"dp_gene12271",10.6801140355302,4.52167889426539,163.50801582946,1.93748950190197e-37,4.29794786583454e-35
"dp_gene7012",8.6597297437671,5.44040140239086,163.146561691722,2.32382262638465e-37,5.0768482499758e-35
"dp_gene2876",10.6712955796462,5.10247894307791,163.097604911155,2.3817611182479e-37,5.12576321850993e-35
"dp_gene20862",10.662422889381,7.30487594680773,162.684953511256,2.93121622809727e-37,6.21547158719625e-35
"dp_gene10405",8.59347582869518,5.8993809972363,160.035084914837,1.11168746935753e-36,2.32310458270525e-34
"dp_gene13141",8.58880732433648,5.0930566464728,159.806642192814,1.24708151841107e-36,2.56880977342417e-34
"dp_gene11175",6.90101606387861,7.1807307906382,158.743879628445,2.12863927987712e-36,4.32293658824622e-34
"dp_gene1435",8.13909856773407,5.68267267399297,156.315905961139,7.2216354098758e-36,1.437738241155e-33
"dp_gene602",6.95852285041928,5.4783603374987,156.300200324639,7.27892999544454e-36,1.437738241155e-33
"dp_gene5451",10.5124949932636,6.20240338516407,155.756502075407,9.56923873706769e-36,1.86457909932134e-33
"dp_gene9643",9.10105008348358,5.00157004747939,155.409250541319,1.13962173316144e-35,2.19096076939398e-33
"dp_gene8605",8.07236388450357,4.690557918041,153.201180126807,3.46182785396008e-35,6.56790734555926e-33
"dp_gene8694",10.4416612434639,7.55180167446252,152.513579004069,4.89306034749065e-35,9.16273209746333e-33
"dp_gene7093",9.03036603460707,5.71160507943967,152.14166068218,5.90017708635882e-35,1.09070068472061e-32
"dp_gene2920",10.388848067411,6.03107449349006,150.10903957431,1.64106707377077e-34,2.99525900464565e-32
"dp_gene15292",6.26093287745983,8.65981111009453,149.421463383043,2.31961359664186e-34,4.18081355624737e-32
"dp_gene11159",8.36302362278932,6.71714217151851,149.313575827569,2.44905163777777e-34,4.35961426729847e-32
"dp_gene1017",5.88986712498212,9.09888858909729,149.042317003729,2.80731259589183e-34,4.93641955123955e-32
"dp_gene6215",10.3562065199203,6.74200123438064,148.628768475851,3.45690309243293e-34,6.00543201081811e-32
"dp_gene8609",7.20409068169625,4.94865885145469,148.012348895269,4.71445725478458e-34,8.09259037580225e-32
"dp_gene2358",10.3001071174567,4.83665423256589,146.095447021313,1.23730007210078e-33,2.09889761642602e-31
"dp_gene11632",7.15399454286546,4.93547052190846,145.697278792064,1.51189256911634e-33,2.53488127373122e-31
"dp_gene6443",10.2653696083606,4.40150250466291,144.533742274077,2.71579862762153e-33,4.50104602433044e-31
"dp_gene21191",8.81366510962579,4.75124415891191,142.254757189818,8.55416398149545e-33,1.40161920964981e-30
"dp_gene1378",8.16920936879089,4.46639053613532,140.45440556932,2.11761428724313e-32,3.43077307952344e-30
"dp_gene9106",6.92458679368683,6.67480573251654,140.191010164353,2.4179339415157e-32,3.87379883363498e-30
"dp_gene1637",8.11571905594796,5.3500623735838,138.050454187592,7.10485182201243e-32,1.12576767496261e-29
"dp_gene13205",8.71671351031542,4.77267066249177,137.887776846191,7.71138545584815e-32,1.20859203138994e-29
"dp_gene13405",6.0845309621835,5.91882815792907,136.93358792139,1.24686262282412e-31,1.93317335037644e-29
"dp_gene3291",10.0911899738078,4.44053048085016,136.787188536755,1.34226366554359e-31,2.03727366247088e-29
"dp_gene2394",10.0911899738078,4.22559737337378,136.787188536755,1.34226366554361e-31,2.03727366247088e-29
"dp_gene12522",7.43625894620236,5.38660287740169,136.129381781741,1.86943652302539e-31,2.8078547109899e-29
"dp_gene21973",6.58782904214053,5.33286480728664,136.087663979588,1.9091288538319e-31,2.83791020035074e-29
"dp_gene18446",8.66935947291156,6.64798955424628,135.779767186995,2.22935405388359e-31,3.28010776560689e-29
"dp_gene12788",6.57489578716423,5.31970555796186,135.496659230809,2.57099921880184e-31,3.70712377359042e-29
"dp_gene16690",6.57489578716423,5.32694584071651,135.496659230809,2.57099921880187e-31,3.70712377359042e-29
"dp_gene1633",6.03663254049004,8.07146982338554,132.684179165658,1.06001843117379e-30,1.51330750090048e-28
"dp_gene18449",9.96698086656508,5.03022172555071,131.353692367802,2.07196024586932e-30,2.90054318302817e-28
"dp_gene10910",9.96698086656508,5.72609154030856,131.353692367802,2.07196024586935e-30,2.90054318302817e-28
"dp_gene15881",6.39991729403016,6.59228327686686,130.4101043042,3.33289343187534e-30,4.62086446098178e-28
"dp_gene8536",9.93786393895165,7.88229299274671,130.091501624992,3.91316732550176e-30,5.37371044441999e-28
"dp_gene10137",6.48527598519972,4.97090210997474,128.185362928349,1.02234764126395e-29,1.39068213579103e-27
"dp_gene10185",8.49464918911508,5.13266163171233,128.077168489573,1.0796259795079e-29,1.45487168210509e-27
"dp_gene12552",6.38409266201537,4.82330601145473,126.849669883832,2.00392219303575e-29,2.67542167605394e-27
"dp_gene437",5.93393697124735,7.15677944516384,125.730910615506,3.52136189023134e-29,4.65821257754547e-27
"dp_gene5877",5.48202481912978,8.33219079824192,125.670159890393,3.63082947012562e-29,4.75935728452194e-27
"dp_gene14127",9.81513793078048,5.52335692358139,124.82171041024,5.56791671685959e-29,7.23277397661246e-27
"dp_gene2464",5.61311886678497,9.04394738837843,122.842935220942,1.50936532128386e-28,1.94317308639214e-26
"dp_gene9847",7.76859495362732,6.72094910506707,122.69729394145,1.62432726669109e-28,2.07267034145299e-26
"dp_gene2344",8.34307457866642,4.66917133821944,121.509870394247,2.95527392890399e-28,3.73790305095321e-26
"dp_gene6277",8.32935570498309,4.8330986231497,120.915665356633,3.98726720005812e-28,4.99933963109896e-26
"dp_gene6563",9.69845932470428,3.90575286963666,119.890138950281,6.68629606649184e-28,8.31118129161602e-26
"dp_gene3266",8.29704601604355,5.73284050779999,119.549908987724,7.93730016389499e-28,9.78187444984631e-26
"dp_gene12720",6.28258228347038,5.91703436065388,119.204323365461,9.44787794693576e-28,1.15448264505819e-25
"dp_gene9418",9.68099307331245,5.22185333448797,119.158752785396,9.66744011899038e-28,1.17138503424977e-25
"dp_gene4714",9.66331276944142,4.32508663268365,118.420260173256,1.40281779203687e-27,1.68560247861497e-25
"dp_gene13388",6.12218607581892,8.49358654554975,118.00143661976,1.73262471275862e-27,2.06468725068319e-25
"dp_gene18103",6.64209724571102,6.35026260317615,116.827346203633,3.13177740431374e-27,3.70140150760654e-25
"dp_gene4486",5.89678906996615,7.52055356353214,116.711251217755,3.32057226997186e-27,3.89262858217271e-25
"dp_gene3996",8.20530986380146,4.25445289834455,115.651831421687,5.665137059687e-27,6.58754929545378e-25
"dp_gene9222",5.28938237160129,7.51824872915978,115.486924509501,6.15636283604081e-27,7.1014876586298e-25
"dp_gene4621",7.58970513383583,4.33693254408395,115.015781893705,7.80736423727198e-27,8.93447499501784e-25
"dp_gene7569",8.18796348979172,4.95257152337572,114.929906162402,8.15289041946299e-27,9.25641944553046e-25
"dp_gene14252",7.18864046578566,6.1800731786225,113.734333514736,1.48990833720415e-26,1.67835846204271e-24
"dp_gene13444",4.86779922420214,11.4157990370812,113.386236604637,1.77583339721082e-26,1.98494122126998e-24
"dp_gene7450",9.53308442614479,4.78280984343508,113.039660548732,2.11501643132191e-26,2.34587860947928e-24
"dp_gene14177",6.88289060605078,6.26461699986762,111.847601935523,3.85859175038718e-26,4.24710186632311e-24
"dp_gene15306",5.55526498108317,5.55786644734465,111.179893746914,5.40378044944284e-26,5.90281138640275e-24
"dp_gene3240",7.11944455376342,5.55348160081796,110.795441698028,6.56023802110337e-26,7.10922261415371e-24
"dp_gene10018",6.50110798447142,7.27161543787181,110.781418207763,6.60680928147997e-26,7.10922261415371e-24
"dp_gene2471",8.08726667756499,6.95279812664512,110.726812291609,6.7913248490138e-26,7.25363799984666e-24
"dp_gene19020",6.85569479962756,4.5296523135781,110.696143934691,6.89720549178121e-26,7.31255926367597e-24
"dp_gene15844",5.30820291699379,7.32297643379633,110.378991271682,8.09383287333308e-26,8.51861140150289e-24
"dp_gene13154",7.46565929265419,5.17099571573986,109.80526225737,1.08106014460698e-25,1.12955117573102e-23
"dp_gene9439",8.05168670566702,6.05127768704565,109.259092586292,1.42400971130234e-25,1.47717957030708e-23
"dp_gene17005",6.12942028669756,6.11508282468908,109.02702236315,1.60088443224646e-25,1.64879661632583e-23
"dp_gene11146",6.21068913018794,7.15361355113215,108.53784713159,2.04900174371673e-25,2.09535859167742e-23
"dp_gene9997",9.4112657110601,4.53708548278279,108.104050561862,2.55031786118718e-25,2.58965022820126e-23
"dp_gene6478",9.38992368462425,5.05716364920494,107.249421895088,3.92525117891809e-25,3.95791585656083e-23
"dp_gene6276",5.75155832064516,9.20739922164645,106.619576212153,5.39377511041179e-25,5.40089189701581e-23
"dp_gene6591",-14.8796165004357,13.5853770643536,106.517277737016,5.67951659754875e-25,5.64778964276244e-23
"dp_gene9265",9.36826119547045,5.2877863697335,106.385095201095,6.07126569090271e-25,5.99599862994015e-23
"dp_gene8471",7.01062500093851,3.88462298508535,106.266623103233,6.44529397317698e-25,6.32208801355366e-23
"dp_gene7593",9.34626847283726,4.67977483572259,105.51084949284,9.43797417266487e-25,9.19501010781451e-23
"dp_gene77",6.13416555407606,6.88250494785476,105.279515213982,1.060670190595e-24,1.02642976363687e-22
"dp_gene11616",4.76868603040528,8.33843388679124,105.149017448746,1.13287509629501e-24,1.08899506756518e-22
"dp_gene9566",9.30125094661473,4.86675297149496,103.731678664233,2.31657430532592e-24,2.18318202016307e-22
"dp_gene5453",9.30125094661473,6.31118264022101,103.731678664233,2.31657430532594e-24,2.18318202016307e-22
"dp_gene6476",9.30125094661473,3.94024545047889,103.731678664233,2.31657430532596e-24,2.18318202016307e-22
"dp_gene4607",5.21970451293774,6.56351240019878,103.241001131452,2.96760508679592e-24,2.77856478873444e-22
"dp_gene2793",6.31758753875624,6.01256481329789,103.084825405866,3.21101167035444e-24,2.98706950160263e-22
"dp_gene13456",7.89882079199075,5.45970028473792,103.053058146647,3.26291488116804e-24,3.0158954917668e-22
"dp_gene7575",9.27820421612185,4.64828810405704,102.826272066156,3.65865315645249e-24,3.36013502311392e-22
"dp_gene15869",5.03977509565406,7.27507757253361,102.144194577052,5.16238948774091e-24,4.7111705078314e-22
"dp_gene14064",6.8952797698364,4.16008329669365,101.533853462329,7.02524831554777e-24,6.37088399131341e-22
"dp_gene15851",9.23097595177679,4.02175758640333,100.982547835648,9.27974777102653e-24,8.36279269440197e-22
"dp_gene2482",-14.4525087059863,10.4623282507922,100.965718353955,9.35892907293922e-24,8.38176386973358e-22
"dp_gene6262",7.81753931531264,4.13369636459154,99.8046254611746,1.68196979606838e-23,1.49705694379691e-21
"dp_gene14575",5.6945476991785,6.11901901523662,99.7464081118784,1.73214486297855e-23,1.53225747112194e-21
"dp_gene9270",7.79619728887679,4.86077166541756,98.9612181881811,2.57495252631813e-23,2.26391710225495e-21
"dp_gene14175",7.77347183518523,3.55855106051132,98.0745568750556,4.02922781681313e-23,3.52105672064415e-21
"dp_gene229",7.77172041077774,3.83326497348856,98.0176257807011,4.14675036614571e-23,3.6019273210515e-21
"dp_gene20946",6.80735513366893,4.17780933884584,97.9805530931742,4.22511634734798e-23,3.6480211145156e-21
"dp_gene5401",-14.1119651758419,9.78521597100867,96.5450019138194,8.72382493783561e-23,7.48743046301498e-21
"dp_gene18062",7.13718373530273,5.55251766504905,96.4939664750596,8.95162128858072e-23,7.63748090887842e-21
"dp_gene2697",4.71559057452775,8.1537030879709,96.2718935958167,1.00141629681918e-22,8.49377740225636e-21
"dp_gene15699",6.30581587020176,4.22725596241591,96.193985127005,1.0416086677914e-22,8.78301484262235e-21
"dp_gene2930",5.01263200148082,8.66424630855286,95.7103076564047,1.32986239530822e-22,1.11484220220635e-20
"dp_gene10026",5.53690454245368,7.29374152226392,95.5569349073794,1.43698586604818e-22,1.1976820348294e-20
"dp_gene18154",7.70471016192202,3.613654021,95.4022371859126,1.55377988496857e-22,1.28758345754953e-20
"dp_gene4584",5.48203357127432,4.93343085464306,95.3509892821348,1.59452813314467e-22,1.31380006581789e-20
"dp_gene14415",5.79632280440919,6.74025916623096,95.1974592029542,1.72311298366854e-22,1.41167989269981e-20
"dp_gene4315",6.27330620315993,7.23764372856203,94.885507990721,2.01721212410004e-22,1.64328709702817e-20
"dp_gene11846",4.88759312194258,9.09084549616336,94.2764020527327,2.74402186542486e-22,2.22281186952591e-20
"dp_gene19247",9.05232287575389,6.96937952841046,94.154208437902,2.91875419273362e-22,2.33808426139035e-20
"dp_gene21334",9.05232287575389,3.83848913663409,94.154208437902,2.91875419273364e-22,2.33808426139035e-20
"dp_gene4203",-10.33019092237,10.4018133826788,93.8946738618307,3.3276834599977e-22,2.65093192318822e-20
"dp_gene8639",7.05654671772952,4.12280243025411,93.3145657814446,4.46097005113875e-22,3.5342157784269e-20
"dp_gene1363",6.42407421642128,4.45196035640228,93.0578401493404,5.07881747761532e-22,4.00171962894728e-20
