"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene8801",5.4011525807802,8.43830929270053,66.443516032428,3.60064813117301e-16,2.47227359063732e-13
"dp_gene414",4.53596770021424,8.15022930671814,65.7023935399723,5.24421389474603e-16,3.29653505753671e-13
"dp_gene10412",8.50322561305915,6.80444974122013,65.6970840326333,5.25836093510953e-16,3.29653505753671e-13
"dp_gene3152",4.39238710181758,8.09668668472391,65.3776313544186,6.18368041318794e-16,3.71510366157321e-13
"dp_gene17058",-3.22177287295412,9.34665941021261,64.8383497263426,8.13013465592284e-16,4.68913646415006e-13
"dp_gene18054",8.38232637777648,7.58135102109928,63.0778723534609,1.98693747007893e-15,1.10190966850262e-12
"dp_gene18103",5.17586074332526,6.35026260317615,61.2637353967209,4.99190874716356e-15,2.66586415649449e-12
"dp_gene12941",-3.16444109980431,8.22975095908996,60.0029896882314,9.471339778383e-15,4.8774017237323e-12
"dp_gene18446",5.5106539909934,6.64798955424628,59.8060901776332,1.04678933343594e-14,5.20470875821133e-12
"dp_gene6897",5.49935380719236,6.16568228566858,59.4911728034606,1.22843902373258e-14,5.90428742773338e-12
"dp_gene9265",8.09451827569868,5.2877863697335,56.9516921025808,4.46649823587452e-14,2.07749800203467e-11
"dp_gene4654",-2.94029268205442,9.44138995321862,56.322268222918,6.15147880905205e-14,2.7718179046163e-11
"dp_gene19247",5.66561308355414,6.96937952841046,55.8017151960232,8.01615741214328e-14,3.50257496138467e-11
"dp_gene11845",-5.27450366757941,6.07854637366146,54.7293360950734,1.38325994476509e-13,5.86624268928464e-11
"dp_gene7569",7.96755630304946,4.95257152337572,54.6166754214525,1.46487366123045e-13,6.03486094893768e-11
"dp_gene7311",6.16053059119782,5.42646151335255,53.5191695776901,2.560818145274e-13,1.02567880101961e-10
"dp_gene8",3.83050542515958,9.49046300446132,52.6089325619553,4.07033721948872e-13,1.58622141534616e-10
"dp_gene18544",7.8769463004142,6.85731644318877,52.5161509218124,4.2672452746202e-13,1.61919498986181e-10
"dp_gene20759",7.8726656960092,7.45965243328474,52.4005166567043,4.52604855563152e-13,1.67336138778592e-10
"dp_gene8536",7.84599441055652,7.88229299274671,52.14732046527,5.14890635845152e-13,1.85605201956281e-10
"dp_gene10026",3.95371755108019,7.29374152226392,51.8629668931769,5.95123507093906e-13,2.09294776799684e-10
"dp_gene10018",3.96456414182957,7.27161543787181,50.9033917931657,9.70257793664663e-13,3.33098741115495e-10
"dp_gene11737",7.69912693915138,4.43985834330791,49.0201154035079,2.53350952996951e-12,8.49550556107682e-10
"dp_gene9779",4.97378945551704,4.54392492412545,48.1284415749008,3.99193915147257e-12,1.30817660511552e-09
"dp_gene19426",-6.91220359675065,5.65781323512463,47.852212793006,4.59588076984618e-12,1.45624366190607e-09
"dp_gene15881",4.2538378387894,6.59228327686686,47.831049378909,4.6457596537679e-12,1.45624366190607e-09
"dp_gene6215",3.83759734982483,6.74200123438064,47.6085178898737,5.20418694639891e-12,1.59657811872608e-09
"dp_gene7859",7.58161737670331,5.86715912476456,46.8340339258589,7.72599673422807e-12,2.32085722730905e-09
"dp_gene2166",-2.51666699260596,10.9734353972821,45.8637318969706,1.26771369191155e-11,3.73044157625972e-09
"dp_gene13154",7.50899364802054,5.17099571573986,45.3802427349469,1.62262993641771e-11,4.6793402106414e-09
"dp_gene14788",-2.70694697069495,8.31003595957304,45.084239953887,1.8873822691482e-11,5.33611077232312e-09
"dp_gene10405",7.46743621725222,5.8993809972363,44.666682277212,2.33598745291747e-11,6.45144519033182e-09
"dp_gene12130",5.72502955642577,6.31853888530227,44.6372556096852,2.37136136408618e-11,6.45144519033182e-09
"dp_gene18129",4.36198137966872,5.67727511073387,43.6391618082654,3.94857856778763e-11,1.05434359942463e-08
"dp_gene8088",-2.53152469799398,9.14012079381143,43.4273674056998,4.39991269974825e-11,1.15349711304854e-08
"dp_gene2751",7.38141071808646,4.73282454450902,43.296059169231,4.70530222289926e-11,1.21153129914258e-08
"dp_gene9439",5.64624114484034,6.05127768704565,43.1381571827971,5.10077099433428e-11,1.29031608714572e-08
"dp_gene3566",5.63212397759731,9.30434488602358,43.0448472548209,5.34993342964026e-11,1.33001189865488e-08
"dp_gene1386",-2.59688796541564,8.07307549454366,42.6605456816138,6.51124437566197e-11,1.59128190936729e-08
"dp_gene3721",4.00235853501387,6.73471378262083,42.6067451902957,6.69281907141325e-11,1.60839596984513e-08
"dp_gene2762",7.34340656842533,5.48700122463668,42.3889256175799,7.48124505899092e-11,1.76839463123918e-08
"dp_gene9994",5.59320938617147,5.33293760343118,42.1095488799865,8.63007544101005e-11,2.00704931909555e-08
"dp_gene1865",-2.38844249352826,11.4200739789981,41.8539316227391,9.83528088706552e-11,2.25103039858092e-08
"dp_gene20555",7.30526393891889,5.68793890306592,41.7942960659079,1.01398795057911e-10,2.28448316553127e-08
"dp_gene2471",7.30004070687264,6.95279812664512,41.617002021123,1.11023543886708e-10,2.46284381431146e-08
"dp_gene21775",3.32922039308958,7.07019236844469,41.068365251148,1.46996406133583e-10,3.21142603036383e-08
"dp_gene3156",3.27370348314632,8.44562561850395,40.8771048543942,1.62109212434198e-10,3.48873542401298e-08
"dp_gene13456",4.20727819547422,5.45970028473792,40.5436631654507,1.92271083086366e-10,4.07699521620928e-08
"dp_gene12998",-2.65879285307961,7.90880769747511,40.4787632602144,1.98764725311922e-10,4.15360662938059e-08
"dp_gene15844",3.48403522034214,7.32297643379633,40.0300888788693,2.5008088844077e-10,5.1513090434678e-08
"dp_gene10202",5.46653985841536,4.56216811810769,39.6737900201046,3.00126397630489e-10,6.09510215131553e-08
"dp_gene14177",5.44290894441909,6.26461699986762,39.3528377736332,3.53738402255948e-10,7.08410280851182e-08
"dp_gene15869",3.46367568207002,7.27507757253361,39.14502186629,3.93465223451155e-10,7.77174665334549e-08
"dp_gene20862",3.83507407485462,7.30487594680773,39.1111376499573,4.00353556716563e-10,7.80094315445421e-08
"dp_gene8827",-2.28986064703716,12.7604719718473,38.3677699762319,5.85921205128842e-10,1.12645304756704e-07
"dp_gene3610",-4.32732436055141,4.58685687855714,38.2211175683532,6.31651198972976e-10,1.19839192605149e-07
"dp_gene12653",7.09937024512881,4.15224400397576,38.1178450574106,6.65982478676978e-10,1.24711705974589e-07
"dp_gene7261",3.14739008451785,7.68234918503062,37.3670547187765,9.78613522993884e-10,1.80905492154472e-07
"dp_gene1543",3.18067979404677,6.86751230746555,37.245776607271,1.0414028380736e-09,1.90075791420041e-07
"dp_gene4130",-2.53515446874204,7.9954267712411,36.7816424150247,1.32128568068827e-09,2.38145227873052e-07
"dp_gene2367",-2.30951214599689,9.23105217152758,36.7222307763281,1.36217187835606e-09,2.42483411284149e-07
"dp_gene7862",7.01316351881663,5.66126260770393,36.5082789066093,1.52019200009229e-09,2.67312785967449e-07
"dp_gene18815",-2.24423862969362,10.1244203677505,36.0217601189751,1.95126271178944e-09,3.38979000497493e-07
"dp_gene21235",3.30054277070716,5.24465912420922,35.8316242179431,2.1512749238881e-09,3.66307454342091e-07
"dp_gene14252",3.41645596766433,6.1800731786225,35.8242955583322,2.15938231632414e-09,3.66307454342091e-07
"dp_gene10989",6.95303356415607,3.62639852352913,35.7936131524932,2.19365850487403e-09,3.67794906764867e-07
"dp_gene1900",3.59586584070233,5.41251426203688,35.6813573815499,2.32377152378887e-09,3.85131742546111e-07
"dp_gene14582",-2.252930668126,9.10375173783413,35.4857630279642,2.56921582472994e-09,4.16362181446846e-07
"dp_gene1486",-2.2337430539941,9.94748646088008,35.4851999201803,2.56995867596708e-09,4.16362181446846e-07
"dp_gene11146",3.17339318530711,7.15361355113215,35.4472962976406,2.62045876200486e-09,4.19826609881645e-07
"dp_gene20901",-2.28380631433292,8.53033188892029,35.2504910349073,2.89908991370789e-09,4.59362389733561e-07
"dp_gene7593",6.90449625456344,4.67977483572259,34.7789712016208,3.69341371375873e-09,5.78862308029208e-07
"dp_gene13503",-2.7133698328384,6.43172970752088,34.668550412322,3.9089583161442e-09,6.06056666241754e-07
"dp_gene5340",-2.56053093951135,6.73962632345617,34.507616465029,4.24586670242054e-09,6.51288850874486e-07
"dp_gene5151",6.88123792172477,4.757833062713,34.4570238638351,4.35767407188038e-09,6.61403183604665e-07
"dp_gene7575",6.8803143063698,4.64828810405704,34.3863991233406,4.51869968208328e-09,6.78699278291237e-07
"dp_gene19327",-2.46152413572185,6.78389775600478,34.3583528065686,4.58428676158513e-09,6.81451864075217e-07
"dp_gene8701",-4.15001346646656,4.82759435762405,34.02025475988,5.45413438616799e-09,8.02481262389349e-07
"dp_gene1321",3.09906580170643,7.39702107742138,33.7025178737467,6.42175141336967e-09,9.3530539019573e-07
"dp_gene14238",-3.72708468631201,6.48039866722623,33.4543182184121,7.29576116197621e-09,1.05197580194535e-06
"dp_gene77",2.95759081907612,6.88250494785476,33.3916642781921,7.53462165891154e-09,1.07566049207768e-06
"dp_gene7990",2.82279377123047,7.47554209784301,33.2056699544522,8.29084303524769e-09,1.17201633063957e-06
"dp_gene20140",2.84195606630056,7.82879705897542,32.9575373373396,9.41938518888482e-09,1.31862247610224e-06
"dp_gene9353",3.01593395577212,6.34681321964323,32.8685613497621,9.86050753192623e-09,1.36710248175812e-06
"dp_gene15195",-2.43062183772772,6.62018550119292,32.7805539063594,1.03171803646485e-08,1.41679451121778e-06
"dp_gene19262",6.76553068063934,5.20677950745154,32.7407577498701,1.05305813888135e-08,1.43245710420096e-06
"dp_gene2409",6.77084338406864,4.26840005338282,32.6617517161122,1.09674299607827e-08,1.47793806172454e-06
"dp_gene8694",2.7363650602339,7.55180167446252,32.4410287059446,1.22864848588367e-08,1.64035949240339e-06
"dp_gene10982",6.74510371856201,3.51318807136267,32.3765932172915,1.27007131489122e-08,1.68010626508409e-06
"dp_gene7189",-2.10953252992848,8.78049734959431,32.0200591603388,1.52588809006802e-08,2.00016185188098e-06
"dp_gene9310",-2.29072672490305,8.87224264337032,31.4451253391547,2.05157021795691e-08,2.6650081957406e-06
"dp_gene4400",-3.63929190023945,5.43845770054871,31.3917097246692,2.1087940882434e-08,2.71488410342693e-06
"dp_gene8384",2.79002010080118,6.86344955573533,31.3603897280714,2.14308781978232e-08,2.73461798880011e-06
"dp_gene10587",3.22029618744775,6.43550757959609,31.2629723769154,2.25336708028972e-08,2.85011402900855e-06
"dp_gene15177",-2.40794034870214,6.49271409689359,31.1966436145287,2.33168874316385e-08,2.9235321728417e-06
"dp_gene15200",-2.39050080496408,6.49551752267816,30.709483281762,2.99696743125314e-08,3.72528218889991e-06
"dp_gene9629",3.47606592555277,5.18911704153711,30.6890588739888,3.02868029844981e-08,3.73252489088442e-06
"dp_gene4767",-2.40789243003798,6.17450980164744,30.5409076250433,3.26900328855279e-08,3.99455579810531e-06
"dp_gene15197",-2.38237079396291,6.47259232570366,30.4827897624778,3.36841510499545e-08,4.08144347890163e-06
"dp_gene1179",2.91213107579686,6.62859093167808,30.4610169804684,3.40643288450477e-08,4.09311298013952e-06
"dp_gene2281",3.21887164436478,6.27538484002179,30.3737817596143,3.56311641257914e-08,4.24599797958501e-06
"dp_gene6220",4.36575455727612,4.94927889154746,30.3394451688322,3.62675073471601e-08,4.28640318392379e-06
"dp_gene16604",-2.10154362608398,8.82416933916793,30.1601150496694,3.97806960061489e-08,4.66339720091594e-06
"dp_gene13708",6.60065983488432,4.25177023987386,30.1293999381078,4.04157489182921e-08,4.69963454558754e-06
"dp_gene21374",2.88704938281292,6.47409217808229,30.0403332110003,4.2315270076035e-08,4.88115103381079e-06
"dp_gene2841",-2.01007285783863,12.7755384450768,29.5575850911891,5.42798199892197e-08,6.21159305098857e-06
"dp_gene9222",2.78371792324334,7.51824872915978,29.5101456590489,5.56247600406165e-08,6.3153812206744e-06
"dp_gene14625",3.60266850273979,6.50855189200353,29.233521574408,6.4159548876229e-08,7.22747293161208e-06
"dp_gene11159",3.96031114584485,6.71714217151851,28.8802338455564,7.69946313308661e-08,8.60608983844774e-06
