"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene972",-6.44564118571672,4.09462033157109,84.5903948890583,3.67044015504738e-20,8.53614138639163e-18
"dp_gene1865",3.36147413424868,11.4200739789981,84.3818621950119,4.07872499105367e-20,9.33510089619092e-18
"dp_gene4897",-3.96743446008941,5.50523342415301,84.2621023996721,4.33342640014877e-20,9.76307425996017e-18
"dp_gene10368",-3.68381689077931,7.92461553348449,84.1020652151948,4.69879612388537e-20,1.04233755862005e-17
"dp_gene15781",-6.42827896472062,3.9365429430671,83.900677665797,5.20266943561633e-20,1.12072139766015e-17
"dp_gene16",-7.62627796009219,3.77519279480898,83.8988063194067,5.20759647986894e-20,1.12072139766015e-17
"dp_gene8163",5.86051620569779,7.37080276356713,83.6209462413404,5.99346496414937e-20,1.27087898997161e-17
"dp_gene3765",-3.96903068434615,5.83480318021276,83.5596727435727,6.18214115224187e-20,1.28937960370418e-17
"dp_gene2027",3.62414671917689,7.70649551220416,83.5350706320355,6.25955837847927e-20,1.28937960370418e-17
"dp_gene39",-7.59859319893456,3.74389775706846,82.9157728173213,8.56252134276843e-20,1.7389154259349e-17
"dp_gene5624",-4.22085758329769,5.01730939626281,82.4225486121644,1.09892966993371e-19,2.20075929316307e-17
"dp_gene1303",-4.40179034536868,4.78962923108484,82.326609433344,1.15358588672377e-19,2.27856916447535e-17
"dp_gene20318",3.7339463040945,8.44691613875622,81.8515766489236,1.46699853854852e-19,2.85846647666636e-17
"dp_gene3716",-4.08770021649529,5.07986823046938,80.9915653559138,2.2668314326181e-19,4.35805899025606e-17
"dp_gene12611",-4.02619491709254,5.58009891550478,80.8576227204172,2.42580302411789e-19,4.60232286904682e-17
"dp_gene16329",-3.80972721934712,5.71693446485571,80.6880943413516,2.64309798873349e-19,4.94945842851276e-17
"dp_gene12864",-3.70238060515365,5.68789557075307,78.7626404656124,7.00391464245281e-19,1.29473647730163e-16
"dp_gene3643",-3.93170960480188,5.18239514573223,78.6439635853802,7.43756547548839e-19,1.35749691887427e-16
"dp_gene12975",3.21209871410601,12.9620766993636,78.1930995593147,9.34443787335617e-19,1.68421812119903e-16
"dp_gene7263",-4.55609475883901,4.37280860847692,76.9679781226923,1.73752436078487e-18,3.09300787137741e-16
"dp_gene13388",4.21238459632373,8.49358654554975,76.2494335573732,2.50004369381306e-18,4.39611341720616e-16
"dp_gene4306",-4.17109379836164,4.66146991620763,75.3478780139435,3.94672303086051e-18,6.85636137132262e-16
"dp_gene17995",-6.17848971783898,3.7528709416407,75.0086811625523,4.68648871507292e-18,8.04458104555195e-16
"dp_gene15434",3.4854569374177,8.82375809640733,74.5060864350901,6.04516067014138e-18,1.0211725937417e-15
"dp_gene7311",-5.61726718804872,5.42646151335255,74.4912919750399,6.09063340465956e-18,1.0211725937417e-15
"dp_gene16075",3.44643901194583,7.09712593745193,74.0601034659499,7.57744146479433e-18,1.25585205150425e-15
"dp_gene9672",7.5120153357266,5.02065473238235,73.6748384444525,9.21055104895593e-18,1.50916972244199e-15
"dp_gene56",-6.13294182692086,3.86032164566021,73.5001466167003,1.006286884614e-17,1.63029781901678e-15
"dp_gene13584",3.0941346013908,11.4186535675354,73.4093758304047,1.0536440568421e-17,1.66672605457375e-15
"dp_gene13579",3.09402646188023,11.4197742384512,73.4052510807207,1.05584821368773e-17,1.66672605457375e-15
"dp_gene19229",-3.17635961508822,7.92969966366022,73.3910920165022,1.06344959442947e-17,1.66672605457375e-15
"dp_gene20745",3.08154330325462,11.7736797461078,72.9810132163337,1.30903101972614e-17,2.02956110467002e-15
"dp_gene13819",3.53573385244164,6.9313782622129,72.784298203503,1.44622903362525e-17,2.21842302508963e-15
"dp_gene13607",3.38553914725547,8.88597000747269,72.0846533118559,2.06160851029556e-17,3.12908769578438e-15
"dp_gene4948",-4.6395384473597,4.93464824613098,72.0169740460468,2.13354217225018e-17,3.20453589392452e-15
"dp_gene13847",-4.18351266964584,4.51288513456789,71.6541311250019,2.56424656979674e-17,3.81173930823703e-15
"dp_gene80",3.4642373547813,7.97959233508067,70.7811115899541,3.99140230643498e-17,5.87265610780469e-15
"dp_gene13171",-3.23822400533592,6.68424267486081,70.747497882776,4.05999077148916e-17,5.91323302364668e-15
"dp_gene12386",7.39787162528447,3.93479800743826,70.1131479377056,5.59984792959842e-17,8.07442072968796e-15
"dp_gene319",-4.08195121901498,4.63336470358178,69.9144349728862,6.19335604095998e-17,8.84178225293088e-15
"dp_gene17523",3.01339260758318,10.5295084292395,69.1719036757676,9.02445316009489e-17,1.27572147171969e-14
"dp_gene13735",-7.17210328952587,3.45865601988703,68.6614858308041,1.16901848917813e-16,1.63651238790868e-14
"dp_gene6276",3.90871698968473,9.20739922164645,68.5540329239292,1.23448357597012e-16,1.71154025787627e-14
"dp_gene2130",7.31656423782915,4.63742306664626,67.6022848099501,2.00035624164575e-16,2.74696539507524e-14
"dp_gene16070",-5.95845821439498,3.59578008438948,67.5634051909248,2.04019378501207e-16,2.77524096095179e-14
"dp_gene4151",3.75849680779899,6.45034895321226,65.9964695476186,4.51731405149754e-16,6.08739731855543e-14
"dp_gene5381",4.30366943264684,6.06990959476065,65.6651930534013,5.34414059331192e-16,7.13492251990412e-14
"dp_gene1050",3.0893801517932,7.93662839807905,65.5793172654352,5.58215211122181e-16,7.38431663226673e-14
"dp_gene5606",3.33985096287106,7.42821244337765,65.3149274332785,6.38359680278088e-16,8.3677347544816e-14
"dp_gene21346",-4.42986413816828,4.03201862762519,64.4919101880427,9.69295077640528e-16,1.25912303824313e-13
"dp_gene7750",-3.77549050608192,4.47957901866542,63.7577934052309,1.40695861024237e-15,1.81133358938257e-13
"dp_gene1174",-3.66642760120858,4.932925776946,62.5482707399096,2.59993482506666e-15,3.31756285333063e-13
"dp_gene20404",-6.95069458358137,3.41873557655256,61.9115203923088,3.59241659760377e-15,4.54377674744288e-13
"dp_gene2377",-2.82321008550604,8.94956636561884,61.4949371981689,4.43883057063032e-15,5.5655215650364e-13
"dp_gene2805",2.89724933088019,8.1514474232415,61.2796230636139,4.95178833491906e-15,6.15515827596534e-13
"dp_gene2333",-3.00062518682377,7.62089304563988,61.1605104905064,5.26061764536754e-15,6.4817596383355e-13
"dp_gene20405",-6.92420364607736,3.40250380419779,61.1441768323544,5.30444300800048e-15,6.4817596383355e-13
"dp_gene10174",3.11395034771493,8.32626729333756,60.6453705832896,6.83405993634405e-15,8.28069833799536e-13
"dp_gene9847",5.18063043183894,6.72094910506707,60.4817387733323,7.42642377903998e-15,8.92346703916479e-13
"dp_gene14909",-4.30531540397121,4.2702729834196,60.3985921399498,7.74683600326369e-15,9.23153953149249e-13
"dp_gene7663",-3.81981667133743,4.25130931570282,60.3426101292115,7.9703223503734e-15,9.4200063909864e-13
"dp_gene20436",-5.70826129975772,3.42878551629374,59.648359146445,1.13413782382325e-14,1.32952303103313e-12
"dp_gene9276",-3.23308696561179,6.65430602401021,59.3567852345171,1.3152590127261e-14,1.52941287939498e-12
"dp_gene9310",-2.75336296117755,8.87224264337032,58.7970654470911,1.74801783653292e-14,2.01637353479746e-12
"dp_gene14942",3.4812297517308,6.59782891379333,58.2467030261238,2.31224161233878e-14,2.64604855621531e-12
"dp_gene14056",-2.94665147330738,6.16422175334255,57.9508210126099,2.68753358539879e-14,3.05130289510749e-12
"dp_gene4573",-2.99230681655654,6.32608699549086,57.932111745872,2.71321649186898e-14,3.05639598408272e-12
"dp_gene10453",3.10615948787245,8.36363420446984,57.6964219519496,3.05858679073753e-14,3.41874131284066e-12
"dp_gene3310",-3.05831131800088,5.60908081953858,57.6741645644723,3.09339260082472e-14,3.42554790169833e-12
"dp_gene7299",3.06280971645806,7.08974084893331,57.6622476733995,3.11219068674999e-14,3.42554790169833e-12
"dp_gene16238",-5.63465360386161,3.59539190660741,57.4796934327108,3.41486734350769e-14,3.73022516863919e-12
"dp_gene5637",-3.63339241042973,4.83125828378426,57.4412651079579,3.48224242102633e-14,3.7752220653217e-12
"dp_gene3425",-5.08007260028157,5.3720395520657,56.7517633391767,4.94447307340614e-14,5.32047442130173e-12
"dp_gene6591",2.66108893033697,13.5853770643536,56.5676991076223,5.42964617426068e-14,5.79926431012332e-12
"dp_gene18491",-4.32586941452758,3.79085572657882,56.3731700372814,5.99427409555029e-14,6.35525280762791e-12
